room,x,y,w,h
0,0,0,0,0
1,969,496,31,38
2,972,636,28,44
3,864,636,34,46
4,759,636,35,37
5,658,636,29,47
6,549,636,35,35
7,443,636,42,41
8,368,636,37,43
9,290,636,36,36
10,213,636,45,45
11,140,636,45,40
12,34,636,49,48
13,34,490,50,46
14,34,337,52,44
15,34,191,52,48
16,51,41,54,43
17,157,40,53,44
18,242,37,50,47
19,192,230,53,52
20,232,487,56,51
21,547,485,58,53
22,801,491,56,45







